customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases
2701,22,Female,T-shirt,Clothing,68.0,California,XL,Olive,Winter,3.2,No,Standard,No,36.0,Cash,Weekly
521,51,Male,Sunglasses,Accessories,84.0,South Carolina,Free Size,White,Spring,3.9,Yes,Free Shipping,Yes,20.0,Debit Card,Quarterly
3157,18,Female,Shirt,Clothing,50.0,Montana,M,Black,Winter,3.1,No,2-Day Shipping,No,18.0,Cash,Monthly
1687,22,Male,Gloves,Accessories,75.0,Illinois,Free Size,Red,Fall,4.2,No,Store Pickup,No,25.0,Cash,Annually
2929,40,Female,Jewelry,Accessories,80.0,Alabama,Free Size,Yellow,Spring,3.6,No,Store Pickup,No,17.0,Credit Card,Weekly
3583,23,Female,Shorts,Clothing,41.0,California,S,Beige,Summer,3.4,No,2-Day Shipping,No,15.0,PayPal,Annually
1135,62,Male,T-shirt,Clothing,81.0,Wisconsin,M,Brown,Summer,3.79,No,Express,Yes,2.0,Venmo,Every 3 Months
1411,61,Male,Hat,Accessories,93.0,Tennessee,Free Size,Purple,Summer,4.0,No,Store Pickup,Yes,18.0,Debit Card,Annually
113,37,Male,Gloves,Accessories,65.0,Florida,Free Size,Red,Spring,4.3,Yes,Free Shipping,Yes,28.0,PayPal,Bi-Weekly
166,42,Male,Handbag,Accessories,60.0,Kentucky,Free Size,Yellow,Winter,2.8,Yes,Store Pickup,Yes,7.0,Cash,Monthly
4568,35,Other,Shoes,Footwear,276.3437899543379,Phoenix,Not Available,Blue,Autumn,3.55,No,Express,Yes,41.0,Credit Card,Monthly
947,46,Male,Coat,Outerwear,24.0,Pennsylvania,XL,Blue,Spring,2.8,Yes,Next Day Air,Yes,4.0,PayPal,Quarterly
4776,64,Other,Laptop,Electronics,884.04,Los Angeles,Not Applicable,Black,Spring,3.19,No,Express,No,0.0,Credit Card,Quarterly
3855,57,Female,T-shirt,Clothing,20.0,Florida,M,Black,Spring,4.2,No,Free Shipping,No,4.0,Venmo,Annually
481,68,Male,Hoodie,Clothing,88.0,Vermont,M,Gray,Summer,4.8,Yes,Standard,Yes,30.0,Debit Card,Bi-Weekly
3790,56,Female,Shirt,Clothing,75.0,North Dakota,M,Magenta,Summer,3.8,No,Express,No,18.0,Bank Transfer,Every 3 Months
3617,42,Female,Hoodie,Clothing,23.0,Wisconsin,L,Purple,Winter,3.3,No,Store Pickup,No,33.0,Debit Card,Fortnightly
2659,52,Female,Handbag,Accessories,47.0,Ohio,Free Size,Indigo,Summer,3.2,No,Next Day Air,No,39.0,PayPal,Monthly
3725,30,Female,Gloves,Accessories,71.0,Colorado,Free Size,Green,Winter,3.1,No,Express,No,18.0,Bank Transfer,Annually
2134,21,Male,Hat,Accessories,34.0,Maine,Free Size,Olive,Summer,3.8,No,Standard,No,13.0,Bank Transfer,Annually
4256,70,Male,Phone,Electronics,734.4773493975904,Los Angeles,Not Applicable,Green,Autumn,2.94,Yes,Standard,Yes,25.0,Cash,Weekly
833,58,Male,Jacket,Outerwear,80.0,California,L,Blue,Fall,2.5,Yes,Express,Yes,28.0,Cash,Bi-Weekly
1106,33,Male,T-shirt,Clothing,83.0,Massachusetts,S,Olive,Spring,3.0,No,Next Day Air,Yes,6.0,Venmo,Every 3 Months
3047,60,Female,Shoes,Footwear,49.0,Pennsylvania,Not Available,White,Spring,3.2,No,Store Pickup,No,25.0,Cash,Every 3 Months
4685,68,Other,Phone,Electronics,1032.09,Phoenix,Not Applicable,Black,Summer,2.94,No,Express,No,0.0,PayPal,Monthly
1612,41,Male,Pants,Clothing,26.0,Arkansas,L,Yellow,Winter,4.5,No,Next Day Air,Yes,6.0,Debit Card,Monthly
4289,34,Female,Phone,Electronics,1282.44,New York,Not Applicable,Red,Autumn,2.94,No,Express,Yes,36.0,PayPal,Weekly
3552,66,Female,Gloves,Accessories,31.0,Montana,Free Size,Black,Spring,2.6,No,Store Pickup,No,20.0,Venmo,Weekly
2918,58,Female,Shirt,Clothing,45.0,Colorado,XL,White,Winter,2.9,No,Store Pickup,No,50.0,Venmo,Annually
1192,34,Male,T-shirt,Clothing,70.0,Indiana,L,Charcoal,Winter,4.1,No,Free Shipping,Yes,50.0,Venmo,Quarterly
1907,23,Male,Backpack,Accessories,30.0,Vermont,Free Size,Green,Spring,4.6,No,2-Day Shipping,No,24.0,PayPal,Fortnightly
1332,38,Male,Socks,Clothing,91.0,Maryland,M,Lavender,Spring,3.2,No,Standard,Yes,8.0,PayPal,Bi-Weekly
316,66,Male,Jewelry,Accessories,24.0,Wisconsin,Free Size,Orange,Spring,4.5,Yes,Express,Yes,24.0,Debit Card,Annually
347,49,Male,Jeans,Clothing,50.0,New Mexico,L,Violet,Spring,4.7,Yes,Next Day Air,Yes,5.0,Cash,Weekly
3115,21,Female,Handbag,Accessories,56.0,Arkansas,Free Size,Olive,Spring,4.7,No,Store Pickup,No,45.0,Venmo,Bi-Weekly
5042,46,Other,Bag,Accessories,735.773625,Los Angeles,Free Size,White,Summer,3.17,Yes,Express,No,31.0,PayPal,Monthly
1498,69,Male,Jacket,Outerwear,33.0,Michigan,S,Magenta,Spring,3.8,No,2-Day Shipping,Yes,16.0,Debit Card,Every 3 Months
